STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LBY,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Libya,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.79780085522297,64.59637011468656,56.058065192327845,59.79211315902272,53.15240292966791,51.59176029962546,52.545155993431855,48.632412184606686,40.25270758122744,34.80163010907347,45.281093765942245,43.173449612403104,78.85975703521451,90.61273051754908,96.12933207924011,90.86088968546147,97.73810111973812,102.73231550089346,103.24215804554366,107.62093050103903,98.07721307423898,63.0054352895288,98.22431891684482,106.3343609181056,76.52488263811169,56.904907332688346,41.11017606151346,47.5489661921214,63.78113359681831,78.99396918501384,50.975793437331895,164.28406996710464,156.3216846823475,159.4338253421425,128.81617584293642
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PST,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Post-demographic dividend,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,29.093115035932943,28.870052576663326,28.647691711435012,31.201628506339098,36.95765229322318,34.33491773834014,35.77696645870491,36.12233754445899,35.422497556057294,37.79260136993588,40.28023506296828,40.639743528883734,39.164687157567386,38.32076808785247,40.1201235721767,39.61667561613409,36.873360481207065,37.08103633556696,37.935442501648225,38.960049316653546,38.987746244566736,38.36568330013916,38.17354308710303,38.04211576803662,39.758285844611635,41.78829617673468,42.29824837076442,44.18780880006788,44.501945331437135,44.8782264763312,49.14005522210714,47.64219820766966,46.31290930773924,46.31283638186318,48.87519323548517,51.007721919415765,53.74566712579822,54.702447285593294,57.27985243656158,49.48191563185511,54.45703510966967,58.38516969733248,58.731677688731175,58.42953401862926,58.29651368245464,56.659999756685885,55.05635886638462,57.043644603433236,58.31394737082886,57.36402248560892,52.759944293116405,57.34976141992466,64.47007991273728,60.29754744416142,59.30112660263329
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Europe & Central Asia,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,41.59762734136896,41.22572261968036,41.01119224673447,43.85595669777854,51.11564253340805,46.74548818438358,49.541294717122845,50.05250358810179,48.11505170876239,50.39795332155712,52.3961016644188,54.19953225244155,54.13991281289526,54.26239796059415,57.581534074145516,57.912590521442134,51.64798972919671,50.985919603305135,51.712279923792536,53.27317439587308,52.07377437391369,50.727570766365666,58.721902642447645,54.39231790464643,55.332236461280154,56.90117639794208,57.16280449983823,60.15483903620814,61.23154199719203,62.88560821370271,69.1462160399585,68.178773628587,66.00833622218316,65.07937592436573,67.45241039084105,69.83134929880832,73.33323471791982,74.02786196617905,75.69902884335623,67.31670067910919,73.53752100685969,78.08953793657979,78.87598741687867,78.53480451213484,78.3407556009866,78.7659251133764,78.45367801023335,81.2214677871365,83.42009819889437,83.25473363201047,77.13019712816278,83.3069113887783,93.58662048888384,86.37088268091554,83.04181951223991
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LSO,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lesotho,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,50.20242914979757,58.03921568627452,62.207357859531776,65.77380952380952,64.95956873315365,68.87755102040816,67.4074074074074,68.74557051736357,67.21348826611985,65.15280135823429,61.099796334012225,67.64168190127971,85.20900321543408,82.04518430439953,90.73170731707317,118.44484629294756,156.54205607476635,124.33075550267698,107.85159620362381,145.72247237003683,131.09193692353466,136.29921259842519,,,,,,,,,,,,,,,,,,,,,,,,,,165.04894883337195,161.12659059339077,158.89473758563747,150.10243548733274,149.79660669915336,150.2085753584383,133.36548975517047,126.29247536057804,129.72277308286698,136.3152477417604,146.36677132949362,144.434955465602,140.5166334916798,141.0966050629983,139.1864794654067,142.37398107422882,141.51375589724964,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OSS,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Other small states,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3840391508782,107.70366911443378,114.32572944897812,116.47399587418066,118.94073455254903,120.36665111929725,116.78248462719486,118.25504055627836,117.04040620505806,113.31181361367068,106.91602224031384,108.70826029622684,111.04410538837085,115.80544413809291,115.21687328386865,118.53156775087227,109.36450453533355,119.12668648225758,128.36026815500082,131.07383729886044,134.03260074916818,132.58208472474348,132.4375833590155,129.9015024262894,132.34737851221075,134.56056244921567,136.65942876683238,132.47906429540825,148.26001415532255,164.573905802679,152.40656034963746,147.99182654349465
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.45587873245876,91.48592664798343,89.26853589863913,90.33725198148838,88.99159250700625,96.34528938003372,87.63909495548961,82.72597846991533,76.25288261432026,76.39868951612904,81.1235906237101,83.8363540589578,82.6374735897388,91.99924342727445,79.4799190194791,75.15119284663047,68.49765015751692,67.24953290244142,66.92932734838308,66.27131811623691,67.73983716591492,70.78096819444046,65.42251418333831,68.44866071428571,71.40127545064693,68.9934922812035,67.28819124757753,73.08354961621293,82.39492838694528,79.53316636691152,81.31368015695313
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NRU,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Nauru,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.28571428571428,145.0,100.0,130.3030303030303,120.40816326530613,179.34782608695653,197.22222222222223,200.0,170.1492537313433,142.06896551724137,140.64005917159764,155.90668571428571,134.9801075268817,110.79625531914894,167.33876190476192,143.95555555555555,165.84677419354838
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDX,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,IDA only,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.62538578794515,38.66789166154684,40.947243976963584,44.36161869887417,48.22594897368515,51.80277656296767,51.66261845880776,51.13744035379541,50.73862677374684,51.143943276051495,54.834985637995366,53.42457509643091,53.49297166593764,53.47300323172958,55.84219177807954,57.91592898238618,56.902949449694376,59.42788054165532,60.951123973212354,54.58212806391046,57.21304004522517,60.858394400791596,60.99128361323696,58.91825152755652,57.61951039335988,54.04070956609196,51.14735378651573,51.707584108315295,54.058687539573064,53.27184837175973,47.99786746355887,52.214194446388156,55.00140022683366,51.97793033716409,50.83873428798462
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LAO,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lao PDR,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,9.105691323418608,13.802817481187606,11.315165811744736,20.115545365158948,45.52810663461097,44.1268320044714,35.84720847697855,38.18232164386761,44.13075861417205,52.628812012210304,64.80926999725398,60.55446614049463,63.7571736099789,65.15697076594584,84.26954050935119,80.0584561654881,68.83730136783251,65.89943687984817,67.25490285235321,60.57209588278798,66.07975162228374,71.79264627378518,81.96137541624209,79.21262890352688,81.8491820941317,76.93082621865199,84.72033789166765,91.69869586802163,98.1851264313662,98.1791466159604,99.05973829333993,85.79832170368095,75.09189092041244,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2964780313877,68.87839539152453,74.07055777812064,74.22183275359342,73.83077737222574,79.96618278481901,80.59117530526778,79.54472196188557,83.84674672746655,90.76346202615123,93.73208087761054,101.88819694631178,104.6820371828649,104.18516687123882,92.93197551293925,104.46498490573103,112.88396669334531,116.12084582552959,117.68285828381146,119.87514479702433,119.41355566270481,120.3355129866393,123.35187983609381,123.81950055178105,121.3630139028953,114.65831087306948,125.55242593515999,139.83650926868012,123.60500779984588,116.31951255297695
