STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BDI,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Burundi,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,11.484,11.296,10.172,9.125,8.452,7.736,7.072,6.393,5.684,5.066,5.361,5.758,6.19,8.038,10.19,11.167,12.292,12.523,12.866,12.817,12.769
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GHA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ghana,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,27.28,26.916,25.29,23.462,21.978,20.248,21.436,22.649,23.73,27.242,31.211,27.255,22.994,23.027,22.839,22.963,22.745,27.604,27.398,27.448,27.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CIV,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Côte d’Ivoire,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,22.139,22.155,22.276,22.429,22.609,22.663,23.154,22.756,22.898,23.856,24.805,25.759,25.4,23.655,21.917,21.265,20.125,18.834,18.829,18.98,19.131
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MDV,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Maldives,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,29.923,30.571,31.362,31.856,32.539,30.517,28.377,26.188,23.981,21.844,23.238,24.338,24.562,25.505,26.27,28.402,27.152,24.939,24.341,24.327,24.316
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SUR,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Suriname,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,18.8,18.49,18.168,17.822,17.497,15.938,17.015,16.986,16.84,15.905,15.252,18.193,18.251,18.26,18.247,19.653,19.275,19.041,18.812,18.881,18.95
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TEA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (IDA & IBRD),"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,18.8153162446769,18.74956705942499,18.510097406265956,18.236390016768375,18.101419320794523,17.476658790188246,17.031654801842695,16.39287074573379,16.017722328693598,15.39268888588497,15.174985378109362,14.857694774381224,14.409836264096917,13.575240682318277,13.595680873021315,14.963529601105906,14.06947156393327,13.35150666124978,13.189119709875401,13.186429634421783,13.447441281860593
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHE,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Switzerland,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,8.667,8.566,7.856,8.027,8.435,8.452,7.906,8.799,9.585,9.108,9.351,8.672,8.133,7.925,7.707,8.621,8.029,7.234,7.748,7.771,7.794
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FCS,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Fragile and conflict affected situations,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,22.068995489133464,22.091709038306156,22.116181899047568,22.145705354300453,21.85929529637115,21.767864427468,21.659162607774597,21.915785828151243,22.035954141424764,22.33000864079565,22.666378997972714,23.41836263822351,23.898144584068298,24.213043661562565,24.79941554681219,26.277107944049558,26.000013642786964,25.661218532953097,24.45324376825421,24.373842192777786,24.386345502896067
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BTN,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bhutan,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,13.06,13.014,13.437,13.427,13.495,13.846,14.069,14.647,15.316,15.38,14.618,14.72,14.899,15.188,10.405,11.968,9.563,17.069,19.723,20.241,20.146
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LMC,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lower middle income,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,27.035086920950608,27.091621008587556,26.848698987615336,26.58668796913011,26.367020522594505,26.204952218571712,25.61753978504273,25.330382249331066,25.456263643244583,25.579614050437236,25.821937942686603,25.963398178666264,26.163966159802516,26.192390956227054,25.9749601146921,26.960830889332254,25.158245019142566,23.442405792228104,22.097804445736482,22.509367565863275,22.591155545879857
