"","code","year","speed","SL.TLF.ACTI.FE.ZS_fut","EG.ELC.ACCS.ZS_fut","IT.NET.USER.ZS_fut","SI.SPR.PGAP_fut","IQ.SPI.OVRL_fut","wat_sm_t_fut","wat_imp_prem_t_fut","wat_imp_qual_t_fut","wat_imp_av_t_fut","electricity_fut","ghggdp_fut","lifeexpectancy_fut","gender_fut","education_fut"
"2362","IRQ",2029,0.5,11.64,NA,85.4023373993852,2.62,58.6401883156302,60.8754756871036,94.6757894736842,60.6642857142857,74.324,3.51,0.575,72.885,53.6820512820513,7.1
"2363","IRQ",2029,1,11.78,NA,88.5761663845804,2.46666666666666,63.1967829075235,61.9153453136011,95.1132456140351,61.5142857142857,74.924,3.72,0.55,73.36,54.8820512820513,7.4
"2364","IRQ",2029,2,12.0828571428571,NA,93.131529379391,2.17333333333334,71.8900167631467,63.8722875304632,95.8860552115583,63.2142857142857,76.065115942029,4.14,0.5,74.31,57.3316025641026,8.05
"2365","IRQ",2029,4,12.7228571428572,NA,97.6118191768347,1.69499999999999,85.5142396184998,67.2951096819615,97.0936857904737,66.5009676597911,78.2030652173914,4.91142857142857,0.4,76.21,62.4214832931296,9.37000000000003
"2366","IRQ",2030,0.25,11.5875,NA,83.9340105439224,2.695,56.7963849912586,60.4472727272727,94.49,60.3242857142857,74.075,3.4225,0.585,72.695,53.1825,6.975
"2367","IRQ",2030,0.5,11.675,NA,86.0916435369961,2.59166666666667,59.5571438139148,61.0854756871036,94.7657894736842,60.8342857142857,74.444,3.545,0.57,72.98,53.8820512820513,7.15
"2368","IRQ",2030,1,11.85,NA,89.6627628383669,2.41666666666666,64.9934789834381,62.3198490864401,95.2783488132095,61.8542857142857,75.1571666666667,3.79,0.54,73.55,55.2820512820513,7.5
"2369","IRQ",2030,2,12.2428571428571,NA,94.4218897029938,2.09333333333334,75.0835298542748,64.6065500296398,96.1613369821613,63.8797478991597,76.505115942029,4.28000000000001,0.48,74.69,58.1674953095684,8.26999999999998
"2370","IRQ",2030,4,13.0607142857143,NA,98.4481474265559,1.57500000000001,89.2552256154664,68.5146222728659,97.4743172114264,67.7809676597911,79.0076811594203,5.15142857142858,0.4,76.97,64.1414832931298,9.8
"2371","ISL",2025,0.25,NA,NA,98.2475,0.585,81.8156621047369,NA,NA,NA,NA,NA,NA,83.0325,88.78,13.92
"2372","ISL",2025,0.5,NA,NA,98.295,0.57,82.1271368078991,NA,NA,NA,NA,NA,NA,83.065,88.86,13.94
"2373","ISL",2025,1,NA,NA,98.3852631578948,0.54,82.7387910038453,NA,NA,NA,NA,NA,NA,83.1276923076923,89.02,13.98
"2374","ISL",2025,2,NA,NA,98.5527829377365,0.5,83.9161065160072,NA,NA,NA,NA,NA,NA,83.2476923076923,89.325,14.06
"2375","ISL",2025,4,NA,NA,98.8265652252804,0.5,86.0821499850708,NA,NA,NA,NA,NA,NA,83.4803846153846,89.9033333333333,14.1
"2376","ISL",2026,0.25,NA,NA,98.295,0.5825,82.127136807899,NA,NA,NA,NA,NA,NA,83.065,88.82,13.93
"2377","ISL",2026,0.5,NA,NA,98.3852631578948,0.565,82.7387910038453,NA,NA,NA,NA,NA,NA,83.1276923076923,88.94,13.96
"2378","ISL",2026,1,NA,NA,98.5527829377365,0.53,83.9161065160074,NA,NA,NA,NA,NA,NA,83.2476923076923,89.175,14.02
"2379","ISL",2026,2,NA,NA,98.8265652252804,0.5,86.0821499850708,NA,NA,NA,NA,NA,NA,83.4803846153846,89.6233333333333,14.1
"2380","ISL",2026,4,NA,NA,99.2294273219041,0.5,89.6950626219365,NA,NA,NA,NA,NA,NA,83.9003146853147,90.4279120879121,14.1
"2381","ISL",2027,0.25,NA,NA,98.3402631578947,0.58,82.434938036935,NA,NA,NA,NA,NA,NA,83.0975,88.86,13.94
"2382","ISL",2027,0.5,NA,NA,98.471081871345,0.56,83.3353225878647,NA,NA,NA,NA,NA,NA,83.1876923076923,89.02,13.98
"2383","ISL",2027,1,NA,NA,98.6986850705194,0.52,85.0299514638174,NA,NA,NA,NA,NA,NA,83.3676923076923,89.325,14.06
"2384","ISL",2027,2,NA,NA,99.0478952634912,0.5,88.004620175035,NA,NA,NA,NA,NA,NA,83.7003496503497,89.9033333333334,14.1
"2385","ISL",2027,4,NA,NA,99.5011301714282,0.5,90.2,NA,NA,NA,NA,NA,NA,84.2425019425019,90.9072527472527,14.1
"2386","ISL",2028,0.25,NA,NA,98.3852631578947,0.5775,82.7387910038454,NA,NA,NA,NA,NA,NA,83.1276923076923,88.9,13.95
"2387","ISL",2028,0.5,NA,NA,98.5527829377365,0.555,83.9161065160074,NA,NA,NA,NA,NA,NA,83.2476923076923,89.1,14
"2388","ISL",2028,1,NA,NA,98.8265652252804,0.51,86.0821499850708,NA,NA,NA,NA,NA,NA,83.4803846153846,89.475,14.1
"2389","ISL",2028,2,NA,NA,99.2294273219041,0.5,89.6950626219369,NA,NA,NA,NA,NA,NA,83.9003146853147,90.1702380952381,14.1
"2390","ISL",2028,4,NA,NA,99.6809041371425,0.5,90.2,NA,NA,NA,NA,NA,NA,84.5254478854479,91.342957042957,14.1
