"","time","SL.TLF.ACTI.FE.ZS","EG.ELC.ACCS.ZS","IT.NET.USER.ZS","SI.SPR.PGAP","IQ.SPI.OVRL","wat_sm_t","wat_imp_prem_t","wat_imp_qual_t","wat_imp_av_t"
"242",359.724310776942,29.5,NA,NA,NA,NA,NA,NA,NA,NA
"243",360.224310776942,29.6,NA,NA,NA,NA,NA,NA,NA,NA
"244",360.724310776942,29.7,NA,NA,NA,NA,NA,NA,NA,NA
"245",361.224310776942,29.8,NA,NA,NA,NA,NA,NA,NA,NA
"246",361.724310776942,29.9,NA,NA,NA,NA,NA,NA,NA,NA
"247",362.224310776942,30,NA,NA,NA,NA,NA,NA,NA,NA
"248",362.724310776942,30.1,NA,NA,NA,NA,NA,NA,NA,NA
"249",363.224310776942,30.2,NA,NA,NA,NA,NA,NA,NA,NA
"250",363.724310776942,30.3,NA,NA,NA,NA,NA,NA,NA,NA
"251",364.224310776942,30.4,NA,NA,NA,NA,NA,NA,NA,NA
"252",364.724310776942,30.5,NA,NA,NA,NA,NA,NA,NA,NA
"253",365.224310776942,30.6,NA,NA,NA,NA,NA,NA,NA,NA
"254",365.724310776942,30.7,NA,NA,NA,NA,NA,NA,NA,NA
"255",366.224310776942,30.8,NA,NA,NA,NA,NA,NA,NA,NA
"256",366.724310776942,30.9,NA,NA,NA,NA,NA,NA,NA,NA
"257",367.224310776942,31,NA,NA,NA,NA,NA,NA,NA,NA
"258",367.724310776942,31.1,NA,NA,NA,NA,NA,NA,NA,NA
"259",368.224310776942,31.2,NA,NA,NA,NA,NA,NA,NA,NA
"260",368.724310776942,31.3,NA,NA,NA,NA,NA,NA,NA,NA
"261",369.224310776942,31.4,NA,NA,NA,NA,NA,NA,NA,NA
"262",369.724310776942,31.5,NA,NA,NA,NA,NA,NA,NA,NA
"263",370.224310776942,31.6,NA,NA,NA,NA,NA,NA,NA,NA
"264",370.724310776942,31.7,NA,NA,NA,NA,NA,NA,NA,NA
"265",371.224310776942,31.8,NA,NA,NA,NA,NA,NA,NA,NA
"266",371.724310776942,31.9,NA,NA,NA,NA,NA,NA,NA,NA
"267",372.224310776942,32,NA,NA,NA,NA,NA,NA,NA,NA
"268",372.724310776942,32.1,NA,NA,NA,NA,NA,NA,NA,NA
"269",373.224310776942,32.2,NA,NA,NA,NA,NA,NA,NA,NA
"270",373.700501253133,32.3,NA,NA,NA,NA,NA,NA,NA,NA
"271",374.176691729323,32.4,NA,NA,NA,NA,NA,NA,NA,NA
"272",374.652882205514,32.5,NA,NA,NA,NA,NA,NA,NA,NA
"273",375.129072681704,32.6,NA,NA,NA,NA,NA,NA,NA,NA
"274",375.605263157895,32.7,NA,NA,NA,NA,NA,NA,NA,NA
"275",376.081453634085,32.8,NA,NA,NA,NA,NA,NA,NA,NA
"276",376.557644110276,32.9,NA,NA,NA,NA,NA,NA,NA,NA
"277",377.033834586466,33,NA,NA,NA,NA,NA,NA,NA,NA
"278",377.510025062657,33.1,NA,NA,NA,NA,NA,NA,NA,NA
"279",377.986215538847,33.2,NA,NA,NA,NA,NA,NA,NA,NA
"280",378.462406015038,33.3,NA,NA,NA,NA,NA,NA,NA,NA
"281",378.938596491228,33.4,NA,NA,NA,NA,NA,NA,NA,NA
"282",379.414786967419,33.5,NA,NA,NA,NA,NA,NA,NA,NA
"283",379.890977443609,33.6,NA,NA,NA,NA,NA,NA,NA,NA
"284",380.367167919799,33.7,NA,NA,NA,NA,NA,NA,NA,NA
"285",380.84335839599,33.8,NA,NA,NA,NA,NA,NA,NA,NA
"286",381.31954887218,33.9,NA,NA,NA,NA,NA,NA,NA,NA
"287",381.795739348371,34,NA,NA,NA,NA,NA,NA,NA,NA
"288",382.271929824561,34.1,NA,NA,NA,NA,NA,NA,NA,NA
"289",382.748120300752,34.2,NA,NA,NA,NA,NA,NA,NA,NA
"290",383.224310776942,34.3,NA,NA,NA,NA,NA,NA,NA,NA
"291",383.700501253133,34.4,NA,NA,NA,NA,NA,NA,NA,NA
